ano,bioma,lat,long,mes,focos
2010,Rio Grande do Norte,-5.22,-36.52,MAIO,2
2010,Rio Grande do Norte,-5.22,-36.52,JUNHO,2
2010,Rio Grande do Norte,-5.22,-36.52,JULHO,9
2010,Rio Grande do Norte,-5.22,-36.52,AGOSTO,30
2010,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,58
2010,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,105
2010,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,262
2010,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,66
2011,Rio Grande do Norte,-5.22,-36.52,JANEIRO,15
2011,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,3
2011,Rio Grande do Norte,-5.22,-36.52,MARÇO,5
2011,Rio Grande do Norte,-5.22,-36.52,ABRIL,0
2011,Rio Grande do Norte,-5.22,-36.52,MAIO,2
2011,Rio Grande do Norte,-5.22,-36.52,JUNHO,0
2011,Rio Grande do Norte,-5.22,-36.52,JULHO,0
2011,Rio Grande do Norte,-5.22,-36.52,AGOSTO,10
2011,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,30
2011,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,94
2011,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,153
2011,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,152
2012,Rio Grande do Norte,-5.22,-36.52,JANEIRO,66
2012,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,16
2012,Rio Grande do Norte,-5.22,-36.52,MARÇO,12
2012,Rio Grande do Norte,-5.22,-36.52,ABRIL,4
2012,Rio Grande do Norte,-5.22,-36.52,MAIO,17
2012,Rio Grande do Norte,-5.22,-36.52,JUNHO,5
2012,Rio Grande do Norte,-5.22,-36.52,JULHO,4
2012,Rio Grande do Norte,-5.22,-36.52,AGOSTO,28
2012,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,36
2012,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,75
2012,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,90
2012,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,79
2013,Rio Grande do Norte,-5.22,-36.52,JANEIRO,23
2013,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,26
